Sample,37861d3315ed42ed2de0b1240cc857b0,445708cfe16519ae324d0cd120f9201e,cf5d8fa7fe3abaa209e8c16fb9de06a3,2038ae44d4ff4e778860fea6764de1bf,9318fb01e065e29e5b1846c094851dd5,df94fd676586f5d1e75a66f1a6f2c173,843d92ade98c665842a38f97e9e25c43,53f974fcbb53172bf0f158dea261f08e,1098a358702c001279ed9027df3229bc,14f1c0dcc361022fff2874c927535084,2d7d03090cf3d2e741eb2579a87e40d5,2e8db3944d3ec7d460ac73f3a1110096,31f0fb7feacca277f335cbe5dbab6a4c,330dec3d3c9691a76ce8f16330411cb1,3e66ec5d10bee11754f0539204da4b4a,4d013ca197541e09cf412047d1a3cea7,4e05d5c7bdef5922db914cf9c6f2eba3,531dcf2b1d9868b8f90753f824afa2bb,93c06730a4f5178212f056c6fc2581bb,98358a92698b6bf0c374fbfa8b2b45ae,a82655f7055cb4ff17473db3af31a8df,b6fa16d7fcba2946afaa0ef085bfc232,c45e8b8644fda935aae08fa86ab837be,d7c284b6c66c294304304f7512e619e0,ef1ab59d93140ed3c92a402f7291918e,efaf65cc4a38719becb53b6752c56679,fb34868cae3a454cb11ab81899bd1043,f0decd24b0db06d698d31afe93a966c2,e3227ca762174d3479c4eb047361908b,7f4325d79c4f7c5d9758bb74a4a90dcf,d39ac4f348c1e8a8c74f96e63eed52b7,4122275c0f42a44332dcc6151f16cf04,d2c55634c0b6b18e580ec2edffd525b8,ef1f858bbfe23a76679630b83c319afc,5b54a3826e0968a18be2782c7a0492ed,36c18a02b9d56e65fde1b68cdf00e590,f25a2fddac1b86f9a7ebbb7be5196f76,9ce157dd9f0489cccfb123efc7c50695,f9180d1d639c0df7bf4e686e09d8ce17,93ed35f0fe40a5c024d90d8077c8f4b3,e2a45509bcc2ab91adc206aebc01056a,77e9c70bc5f7a1ea993bf54224953f28,6ee6b4197b516bca9330a9f58c85489e,de3d5648abab9e81b0dd863fae366f53,be74d9658348ff8e205ad0fa58d07a0a,9b80483faf84419386baf470189e86a0,8c4443ac44be2e107f2c3b899af9312a,0f6a4e117e962901e48c6cf00e0570ab,7a4bf88ac4fe6686f61dde33bb4736f9,6a1fc0bcfcd22fabb7b8df895df79ca9
cuizhaoyan,0.0,0.0,0.0,0.0,0.0,0.0,0.000366943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000468871,0.000305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815428,0.0,0.0,0.000163086,0.000937742,0.000265014,0.000489257,6.12e-05,0.0,0.0,0.0,0.0,0.0
T386615,0.0,0.0,0.0,0.0,0.0,0.00011032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000239028,0.0,0.0
T4511947,0.0,0.0,0.0,0.0,0.0,0.000707741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153025,0.0,0.0006121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000401691,0.0,0.018171732,0.0,0.013083647,0.0
T4546812,0.000141391,0.0,0.0,0.000565565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000302981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000444373,0.00016159,0.0,0.0,0.0,0.000343379,0.000302981,0.000121193,0.000727155,0.0,0.000565565,0.0,0.001777491,0.0,0.000787751,8.08e-05,0.0,8.08e-05,0.0,0.0,0.000666559,0.00080795,0.001171528,0.002464248,0.0,0.003171205,0.000181789
T4708931,0.0,0.0,0.0,0.0,0.0,7.57e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000605659,0.0,0.0,0.0,0.013381281,0.0
T4771295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000163528,0.0,0.0,0.0,0.0,0.0,0.000626857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-05,0.00040882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-05,0.0,0.0,0.0,0.0,0.0
T4885622,0.0,0.0,0.0,0.009309577,0.013518931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000623608,0.0,0.0,0.0,0.00142539,0.0,0.0,0.0,0.0,0.0,0.0,0.003986637,0.0,0.000222717,0.0,0.0,0.0,0.0,0.0,0.0,0.001314031,0.0,0.023964365,0.0,0.0,0.014209354,0.0,0.0,8.91e-05,0.0,0.003808463,0.0,0.003363029,0.0
T4978370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13e-05,0.000203285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000996097,0.0,0.0,0.0,0.0,0.020958692
T5309201,0.0,0.0,0.000979014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006426348,0.0,0.0,0.000125515,0.00017572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022366703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5356332,0.0,0.000233259,0.00083307,0.0,0.0,0.0,0.0,0.0,0.000149953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011663,0.002799114,0.0,0.0,0.001166297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000466519,0.0,0.0,0.000916376,0.0,0.337543111,0.0,0.0,0.0
T5383979,0.0,0.0,0.0,0.0,0.0,0.005257071,0.0,0.002880875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006455683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000546735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5392952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001739258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001126843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000661408,0.001714762,0.000538925,0.000171476,0.0,0.0
T5402558,0.0,0.0,0.0,0.0,0.0,0.000200108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000360195,0.0,0.0,0.00050027,0.0,0.0,0.0,0.0,0.0,0.0,0.021251476,0.0,0.0,0.012766894,0.0,0.0,0.0,0.0,0.0,0.0,0.000700378,0.0
T5404288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000564493,0.0,0.0,0.0,0.0,0.0
T5406460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000528316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5407014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005603404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5407024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001532348,0.011557541,0.0,0.0,0.0,0.001246656,0.0,0.0,0.0,0.0,0.0,0.0,0.001480404,0.0,0.000285692,0.0,0.0,0.000753188,0.0,0.003921772,0.000701244,0.001714152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000467496,0.001272628,0.0,0.00012986,0.002389424,0.0012986
T5411329,0.0,0.0,0.0,0.002404643,0.00327529,0.000456053,0.0,0.001077944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000393864,0.0,0.0,0.0,0.0,0.0,0.003752073,0.0,0.0,0.0,0.0,0.000248756,0.0,0.128689884,0.0,0.0,0.0,0.001160862,0.0,0.0,0.0,0.0,0.0,0.000891376,0.0,0.0,0.002529022,0.0,0.0,0.001513267,0.001451078,0.00064262,0.0,0.015298507,0.0
T5411337,9.18e-05,0.0,0.0,0.001523411,0.002165813,9.18e-05,0.0,0.001101261,0.0,0.000238607,0.0,0.0,0.0,0.0,0.001908852,0.0,0.0,0.0,0.0,0.0,0.002771507,0.0,0.0,9.18e-05,0.0,0.001706954,0.0,0.001193033,0.0,0.0,0.00012848,0.001248096,0.0,0.0,0.0,0.0,0.004845548,0.0,0.0,0.0,0.0,0.027421398,0.0,0.0,0.0,0.0,0.0,0.0,0.002973405,0.0
T5412670,0.0,0.0,0.0,0.0,0.0,0.001016068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335595088,0.0,0.0,0.0,0.0,0.0,0.0,0.001308833,0.000292765,0.0,0.0
T5413224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000457341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006974457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5414072,0.017518141,0.0,0.0,0.005252999,0.006352464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000659679,0.0,0.0,0.004446725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002150065,0.021305187,0.0,0.018739769,0.000464219
T5415755,0.0,0.0,0.0,0.0,0.0,0.004868928,0.0,0.000870113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000759034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000777547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5415787,0.0,0.0,0.0,0.0,0.0,0.002582844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001985452,0.0,0.0
T5416619,0.0,0.0,0.0,0.000432401,0.000432401,0.0,0.0,0.000288268,0.0,0.00084078,0.0,0.0,0.0,0.0,0.0,0.000480446,0.0,0.000192178,0.0,0.0,0.0,0.001489382,0.0,0.0,0.0,0.00146536,0.000192178,0.000816758,0.0,0.000336312,0.000864803,0.0,0.0,0.0,0.001825694,0.001129048,0.00177765,0.000816758,0.0,0.0,0.007687134,0.0,0.0,0.0,0.000552513,0.0,0.0,0.0,0.001056981,0.0
T5418386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001399567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130626,0.002183325,0.0
T5424389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002941367,0.000627203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5425858,0.0,0.0,0.0,0.0,0.0,0.000567562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000492883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5426822,0.0,0.0,0.0,0.0,0.0,0.000132485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000110405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001302773,0.0
T5427019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21e-05,0.001451011,0.0,0.0,0.001543139,0.0
T5430860,0.0005074,0.000676533,0.0,0.0,0.0,0.002097252,0.0,0.0,0.0,0.001369979,0.0,0.0,0.000473573,0.0,0.0,0.0,0.0,0.0,0.0,0.000761099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000490486,0.0,0.0,0.0,0.0,0.005192389,0.0,5.07e-05,0.0
T5433863,0.0,0.0,0.0,0.000404285,0.0,0.001197307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00443159,0.0,0.0,0.0,0.0,0.0,0.00027989,0.0,0.0
T5434631,0.010300446,0.0,0.0,0.0,0.0,0.0,0.0,0.000876634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001514186,0.0,0.0,0.0,0.0,0.0,0.0,0.000318776,0.000318776,9.96e-05,0.0,0.001394645,0.0,0.002968601,0.0,0.000577781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000518011,0.0,0.0,0.00165365,0.001016098
T5436097,0.0,0.0,0.00033095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000230226,0.0,0.0,0.0,0.000935292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5444043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176087,0.0,0.0,0.0,0.0,0.0,0.0,0.000950872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001479134,0.0
T5445007,0.0,0.0,0.0,0.0,0.0,0.001265895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004194457,0.0,0.001738243,0.0
T5445301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040963553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016890408,0.0,0.0,0.0
T5450212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000227706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186305,0.000124203,0.000103503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011157572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5450491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5453600,0.0,0.0,0.0,0.0,0.0,0.0,0.000188735,0.0,0.0,0.0,0.058360945,0.0,0.0,0.0,0.003963427,0.0,0.0,0.0,0.000167764,0.0,0.0,0.0,0.0,0.0,0.000125823,0.0,0.0,0.0,0.0,0.0,0.0,0.067420207,0.0,0.000503292,0.0,0.0,0.0,0.000943673,0.0,0.0,0.0,0.001279201,0.0,0.000440381,0.0,0.0,0.0,0.0,0.0,0.0
T5455039,0.0,0.000706402,0.000927152,0.0,0.0,0.0,0.000242826,0.027152318,0.000375276,0.0,0.0,0.000154525,0.000551876,0.000331126,0.0,0.0,0.0,0.000551876,0.000397351,0.008256071,0.0,0.0,0.000529801,0.0,0.000154525,0.0,0.0,0.001346578,0.0,0.0,8.83e-05,0.000286976,0.000706402,0.000463576,0.000353201,0.001169978,0.0,0.001081678,0.0,0.0,0.048278146,0.002406181,0.000242826,0.0,0.000772627,0.0,0.001721854,0.0,0.00593819,0.0
T5462005,0.0,0.0,0.0,0.0,0.0,0.00015246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5468269,0.0,9.27e-05,0.0,0.0,0.0,0.0,0.000241026,0.002688371,7.42e-05,0.0,0.000222486,0.000148324,0.0,0.000148324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56e-05,0.0,0.0,0.182438446,0.000166864,0.0,0.0,0.0,0.000315188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000889944,0.000241026,0.000648917,0.00038935,0.0,0.005840255,0.0,0.0,0.008880896
T5468282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195982,0.0,0.0,0.0,0.0,0.0,0.0,0.000725135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117589,0.0,0.0,0.0,0.0,0.0,0.000960314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137971583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5471149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000148913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001538767,0.000173732,0.0,0.0
T5513320,0.0,0.0,0.0,0.0,0.0,0.009479825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010136121,0.0,0.0
T5558516,0.0,0.0,0.0,0.0,0.0,0.0,0.000305523,0.0,0.0,0.0,0.0,0.000174585,0.000196408,0.0,0.0,0.0,0.0,0.000698339,0.0,0.023263427,0.0,0.0,0.002793357,0.0002837,0.0,0.0,0.0,0.0,0.00034917,0.0,0.0,0.0,0.0,0.0,0.0,0.000109116,0.0,0.0,0.0,0.0,0.002029548,0.0,0.000261877,0.0,0.0,0.0,0.001025686,0.0,0.0,0.0
T5558703,0.0,0.0,0.0,0.0,0.0,0.0045981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000281959,0.0,0.0,0.0,0.0,0.000281959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001192903,0.0,0.0,0.0,0.0,0.0,0.010128834,0.0,0.0
T5559825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004033005,0.0,0.0,0.0,0.0,0.000493837,0.0,0.0,0.0,0.0,0.00059672,0.0,0.0,0.0,0.0,0.0,0.0,0.000288072,0.0,0.0,0.0,0.0,0.001954773
T5564869,0.0,0.0,0.0,0.0,0.0,0.000259331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000877735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5581107,0.0,0.0,0.0,0.0,0.0,0.002246762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000440542,0.0,0.0,0.0,0.0,0.000146847,0.0,0.0,0.0,4.41e-05,0.0
T5581599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029753771,0.0,0.002758799,0.0
T5584547,0.0,0.0,0.0,0.000471633,0.000499376,0.0,0.00036066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000388403,0.0,0.0,0.0,0.0,0.0,0.0,0.000388403,0.0,0.0,0.0,0.0,0.000277431,0.0,0.000527119,0.00080455,0.0,0.0,0.0,0.0,0.0,0.0
